iter	RMSE
0	3037.454159
1	2362.251945
2	2059.284606
3	1914.279033
4	1825.781412
5	1787.662811
6	1751.252877
7	1724.32509
8	1700.232502
9	1684.460579
10	1665.970443
11	1650.228907
12	1642.565623
13	1635.606692
14	1620.462372
15	1614.019339
16	1606.970478
17	1601.077255
18	1594.370757
19	1589.482541
20	1580.857381
21	1572.253442
22	1564.297614
23	1558.322595
24	1551.825918
25	1543.487133
26	1535.918824
27	1532.192303
28	1528.402705
29	1522.2071
30	1517.609732
31	1514.956785
32	1506.074273
33	1499.857606
34	1495.321104
35	1491.25809
36	1484.80965
37	1480.110897
38	1474.120204
39	1470.269464
40	1465.690415
41	1462.094022
42	1459.102476
43	1457.182084
44	1453.38443
45	1450.598207
46	1447.467432
47	1443.60632
48	1440.824086
49	1438.311669
50	1434.95451
51	1433.086556
52	1429.7637
53	1427.706813
54	1423.878979
55	1422.108969
56	1418.089071
57	1414.74396
58	1411.818182
59	1409.1307
60	1406.00785
61	1404.489336
62	1401.447323
63	1398.7268
64	1397.302786
65	1395.444294
66	1391.484671
67	1389.845453
68	1387.613833
69	1384.365095
