iter	Passed	Remaining
0	83	5751
1	155	5283
2	221	4937
3	291	4807
4	369	4798
5	432	4609
6	493	4444
7	559	4339
8	620	4208
9	681	4089
10	746	4004
11	806	3896
12	868	3809
13	936	3747
14	1001	3672
15	1064	3591
16	1130	3523
17	1195	3453
18	1256	3373
19	1319	3299
20	1385	3233
21	1454	3172
22	1518	3102
23	1582	3033
24	1645	2961
25	1709	2893
26	1773	2825
27	1835	2752
28	1899	2684
29	1958	2611
30	2019	2540
31	2082	2472
32	2144	2404
33	2204	2333
34	2268	2268
35	2329	2199
36	2390	2132
37	2449	2062
38	2510	1995
39	2575	1931
40	2645	1870
41	2707	1804
42	2772	1740
43	2834	1675
44	2897	1609
45	2963	1545
46	3026	1481
47	3089	1416
48	3157	1353
49	3217	1287
50	3277	1221
51	3341	1156
52	3400	1090
53	3461	1025
54	3524	961
55	3584	896
56	3643	830
57	3702	766
58	3765	702
59	3827	637
60	3889	573
61	3951	509
62	4014	446
63	4074	381
64	4141	318
65	4208	255
66	4271	191
67	4335	127
68	4407	63
69	4474	0
