iter	Logloss
0	0.5277460291
1	0.4644776829
2	0.4372843622
3	0.4175415607
4	0.4011087297
5	0.3903028569
6	0.3787600874
7	0.369573663
8	0.3615514115
9	0.3560937901
10	0.3498820973
11	0.3441199751
12	0.3383089876
13	0.3348970089
14	0.3311146339
15	0.3265164704
16	0.3225936699
17	0.3201596089
18	0.3173903739
19	0.3146257931
20	0.3105454759
21	0.308403492
22	0.3058068393
23	0.3036160979
24	0.3010546053
25	0.2986685863
26	0.2965918335
27	0.2938782547
28	0.2917546714
29	0.2898568701
30	0.2875229987
31	0.2857572763
32	0.2840603224
33	0.2821385368
34	0.2805506522
35	0.278723303
36	0.2771029161
37	0.2748573791
38	0.2731953294
39	0.2716285142
40	0.2701612892
41	0.2684902668
42	0.2673550028
43	0.2659483783
44	0.2648444259
45	0.2636395162
46	0.2626309403
47	0.2614443969
48	0.2600150251
49	0.2583473073
50	0.2567858414
51	0.2555954954
52	0.254396194
53	0.2532587208
54	0.2518645673
55	0.2505527258
56	0.2492281027
57	0.2481648918
58	0.2465365009
59	0.2459301574
60	0.2449560592
61	0.2440368532
62	0.2431135365
63	0.2423881076
64	0.2418163761
65	0.2406802374
66	0.2399190696
67	0.2391864878
68	0.2382408713
69	0.2373758635
70	0.2368388543
71	0.2358289064
72	0.2347582483
73	0.2342776297
74	0.2333145087
75	0.2322361466
76	0.2313639661
77	0.2303809678
78	0.2298570685
79	0.2291362711
80	0.2281928527
81	0.2277023528
82	0.2267964327
83	0.2259066135
84	0.2252503453
85	0.2244595588
86	0.2237325232
87	0.2230955337
88	0.2223273475
89	0.2219261703
90	0.2206887803
91	0.2199935101
92	0.2191556118
93	0.2185647778
94	0.2182163709
95	0.2173400391
96	0.2166795879
97	0.2163200035
98	0.2159538215
99	0.2155545752
100	0.2150827531
101	0.2145183471
102	0.2141219347
103	0.2137687855
104	0.2134130857
105	0.2128788934
106	0.2124754536
107	0.2121216848
108	0.2117260181
109	0.2110727194
110	0.2105077988
111	0.2101597835
112	0.2093932178
113	0.209064583
114	0.2083155332
115	0.2080052874
116	0.2072178729
117	0.2068816952
118	0.2064171746
119	0.2061318948
