iter	Passed	Remaining
0	404	48126
1	758	44765
2	1120	43688
3	1467	42563
4	1826	42011
5	2174	41322
6	2521	40701
7	2890	40466
8	3240	39966
9	3588	39473
10	3937	39021
11	4291	38627
12	4643	38216
13	4992	37801
14	5338	37369
15	5689	36983
16	6037	36579
17	6382	36165
18	6732	35787
19	7082	35410
20	7426	35011
21	7772	34625
22	8117	34236
23	8461	33846
24	8817	33505
25	9162	33126
26	9504	32739
27	9857	32387
28	10207	32029
29	10553	31659
30	10898	31289
31	11244	30921
32	11594	30566
33	11936	30191
34	12282	29828
35	12626	29462
36	12975	29106
37	13326	28757
38	13670	28391
39	14016	28033
40	14361	27671
41	14705	27309
42	15046	26944
43	15394	26589
44	15739	26232
45	16084	25874
46	16425	25512
47	16772	25158
48	17118	24804
49	17464	24450
50	17830	24123
51	18171	23762
52	18514	23405
53	18857	23048
54	19207	22699
55	19562	22357
56	19909	22005
57	20254	21651
58	20604	21302
59	20945	20945
60	21290	20592
61	21638	20242
62	21977	19884
63	22321	19531
64	22665	19178
65	23008	18825
66	23351	18472
67	23694	18118
68	24036	17766
69	24384	17417
70	24724	17063
71	25069	16712
72	25413	16362
73	25764	16015
74	26104	15662
75	26445	15310
76	26793	14962
77	27135	14611
78	27474	14258
79	27831	13915
80	28175	13566
81	28515	13214
82	28865	12867
83	29206	12516
84	29551	12168
85	29912	11825
86	30271	11482
87	30615	11132
88	30971	10787
89	31309	10436
90	31651	10086
91	31997	9738
92	32339	9388
93	32679	9038
94	33017	8688
95	33364	8341
96	33716	7994
97	34055	7645
98	34394	7295
99	34734	6946
100	35073	6597
101	35414	6249
102	35760	5902
103	36102	5554
104	36443	5206
105	36808	4861
106	37147	4513
107	37489	4165
108	37832	3817
109	38175	3470
110	38516	3122
111	38855	2775
112	39198	2428
113	39536	2080
114	39881	1733
115	40223	1387
116	40565	1040
117	40905	693
118	41246	346
119	41587	0
