category,oid
esport,749208109
athletics,452466036
tennis,161038103
esport,663621910
tennis,566255305
volleyball,332983824
autosport,306441436
volleyball,770457906
boardgames,720955404
athletics,623907520
esport,357676832
boardgames,463889624
tennis,769116238
winter_sport,902512702
hockey,573984210
boardgames,867549202
basketball,517149005
tennis,631811222
volleyball,289454822
volleyball,54310919
athletics,731046922
autosport,759095431
hockey,568705033
boardgames,746261621
hockey,223960908
motosport,39021409
winter_sport,433430409
basketball,191288802
winter_sport,773806324
autosport,42587423
volleyball,909050028
motosport,381764623
athletics,896686111
winter_sport,759592926
volleyball,475206109
winter_sport,123458214
autosport,733364110
winter_sport,571093038
tennis,86508807
motosport,150043234
basketball,194604309
winter_sport,142857803
volleyball,53073826
tennis,444234900
tennis,735418021
motosport,710293600
hockey,529343505
motosport,939038022
boardgames,624444012
volleyball,10212412
boardgames,249455008
autosport,816073817
winter_sport,292582612
football,168872231
extreme,804591616
motosport,708450700
volleyball,595692823
athletics,424194001
winter_sport,675267313
boardgames,380261015
volleyball,698363821
autosport,302563336
winter_sport,142601735
hockey,742710000
extreme,10353705
boardgames,855343237
athletics,750586033
boardgames,111296917
boardgames,746261621
martial_arts,649301435
martial_arts,891104532
basketball,27707002
athletics,378995810
basketball,591630036
tennis,994379631
hockey,567098537
esport,282476217
tennis,663005300
hockey,224117102
football,360837705
autosport,226571001
martial_arts,695496003
motosport,301803518
boardgames,3914130
basketball,692130106
boardgames,415497137
basketball,479057125
motosport,245636707
esport,569162732
athletics,191288802
volleyball,697977732
martial_arts,647248211
boardgames,332820822
winter_sport,749981730
motosport,74069810
winter_sport,652140412
motosport,184257327
motosport,244390012
extreme,429114239
athletics,880844709
autosport,169782234
boardgames,379077831
football,298814214
football,638216721
motosport,675028903
volleyball,464496500
athletics,724673712
tennis,542970915
tennis,967849804
athletics,424965336
martial_arts,222516037
football,74652019
boardgames,758394115
volleyball,514263414
volleyball,901319525
motosport,307052612
winter_sport,327143311
winter_sport,991629126
hockey,730917226
winter_sport,720971414
basketball,371194832
martial_arts,96550538
tennis,883757433
tennis,429095315
boardgames,952343224
athletics,154620504
winter_sport,953467218
autosport,582543434
boardgames,867549202
athletics,95038303
esport,153599208
basketball,28624709
basketball,199165412
football,527137328
winter_sport,749981730
hockey,669566726
winter_sport,388651911
boardgames,388468131
football,907386212
football,859305226
esport,732864905
martial_arts,312888017
hockey,577870231
extreme,817402220
athletics,150273323
autosport,661657826
tennis,557484721
esport,229925816
winter_sport,806603917
basketball,966922207
winter_sport,816892913
esport,738676239
boardgames,461441908
esport,27943630
athletics,910049717
motosport,753336639
autosport,137256429
winter_sport,488107817
martial_arts,432194902
autosport,276231830
tennis,39708933
football,165244818
basketball,772243338
basketball,270775309
tennis,421579134
boardgames,700486922
winter_sport,507262500
extreme,341458225
boardgames,395353112
basketball,824743609
winter_sport,290484631
basketball,159768514
football,234253423
hockey,441420522
motosport,251684639
volleyball,503664137
boardgames,330691025
athletics,152682706
hockey,529343505
autosport,890548501
tennis,461848124
winter_sport,400318329
autosport,757382404
hockey,367128632
autosport,82359035
motosport,780661336
hockey,742321024
tennis,203609815
winter_sport,484770022
winter_sport,272409826
winter_sport,189202917
autosport,954309335
motosport,269135832
esport,363011237
athletics,143686331
athletics,424194001
athletics,758557134
athletics,207891029
martial_arts,96550538
athletics,380846012
hockey,32860111
extreme,694176212
autosport,776303527
extreme,825619734
autosport,789704301
athletics,45918031
volleyball,435847516
athletics,703540237
football,285269308
winter_sport,800426014
boardgames,570225132
boardgames,104061007
motosport,379707522
extreme,961037402
motosport,145846507
football,675338101
hockey,611637936
extreme,178373718
autosport,493291122
winter_sport,955803014
athletics,280458608
tennis,309347409
autosport,763019216
