category,oid
tennis,161038103
esport,663621910
tennis,566255305
autosport,306441436
volleyball,770457906
boardgames,720955404
athletics,623907520
boardgames,463889624
martial_arts,769116238
winter_sport,902512702
hockey,573984210
boardgames,867549202
basketball,517149005
tennis,631811222
athletics,731046922
autosport,759095431
hockey,568705033
boardgames,746261621
hockey,223960908
motosport,39021409
basketball,191288802
winter_sport,773806324
autosport,42587423
athletics,896686111
winter_sport,759592926
volleyball,475206109
autosport,733364110
tennis,86508807
motosport,150043234
basketball,194604309
extreme,142857803
volleyball,53073826
tennis,444234900
tennis,735418021
hockey,529343505
boardgames,624444012
boardgames,249455008
autosport,816073817
winter_sport,292582612
extreme,804591616
winter_sport,675267313
autosport,302563336
hockey,742710000
extreme,10353705
boardgames,855343237
martial_arts,750586033
boardgames,111296917
boardgames,746261621
martial_arts,891104532
basketball,27707002
athletics,378995810
hockey,567098537
tennis,663005300
football,360837705
martial_arts,695496003
motosport,301803518
basketball,692130106
boardgames,415497137
basketball,479057125
motosport,245636707
esport,569162732
volleyball,697977732
martial_arts,647248211
winter_sport,749981730
motosport,74069810
winter_sport,652140412
motosport,184257327
motosport,244390012
athletics,880844709
autosport,169782234
boardgames,379077831
football,298814214
football,638216721
motosport,675028903
athletics,724673712
tennis,542970915
football,967849804
football,74652019
boardgames,758394115
volleyball,514263414
motosport,307052612
winter_sport,327143311
winter_sport,720971414
martial_arts,96550538
tennis,883757433
boardgames,952343224
athletics,154620504
autosport,582543434
boardgames,867549202
athletics,95038303
esport,153599208
basketball,28624709
basketball,199165412
football,527137328
winter_sport,749981730
hockey,669566726
winter_sport,388651911
boardgames,388468131
football,907386212
football,859305226
esport,732864905
martial_arts,312888017
esport,692638318
extreme,817402220
athletics,150273323
tennis,557484721
esport,229925816
winter_sport,806603917
basketball,966922207
boardgames,461441908
athletics,910049717
autosport,137256429
winter_sport,488107817
martial_arts,432194902
tennis,39708933
football,165244818
basketball,772243338
basketball,270775309
tennis,421579134
boardgames,700486922
winter_sport,507262500
boardgames,395353112
basketball,824743609
winter_sport,290484631
basketball,159768514
volleyball,503664137
hockey,529343505
autosport,890548501
tennis,461848124
winter_sport,400318329
autosport,757382404
hockey,367128632
motosport,780661336
hockey,742321024
winter_sport,272409826
athletics,424194001
esport,207891029
martial_arts,96550538
hockey,32860111
autosport,776303527
extreme,825619734
athletics,45918031
volleyball,435847516
athletics,703540237
winter_sport,800426014
boardgames,570225132
motosport,379707522
extreme,961037402
motosport,145846507
football,675338101
extreme,178373718
autosport,493291122
athletics,280458608
tennis,309347409
winter_sport,68737418
winter_sport,675267313
basketball,737880515
autosport,420029112
tennis,353081737
athletics,893681523
athletics,645562129
tennis,798959002
basketball,517149005
motosport,720194726
basketball,938731820
hockey,656339234
hockey,730917226
autosport,479886838
extreme,727066931
motosport,939038022
motosport,765370701
volleyball,930647729
volleyball,75344628
esport,247095126
motosport,559217017
tennis,919523134
extreme,735630433
football,606729828
martial_arts,691699936
martial_arts,642194214
football,24580105
extreme,191288802
motosport,810672125
tennis,796343309
boardgames,188871818
tennis,969939508
motosport,433461909
volleyball,840167802
athletics,630596921
basketball,468180423
boardgames,869290538
esport,24664535
esport,114099424
tennis,444234900
athletics,597320201
esport,976183800
motosport,814378832
winter_sport,404734609
martial_arts,952424029
football,961573518
boardgames,257082031
martial_arts,189606914
motosport,137678818
volleyball,456256906
extreme,335696332
esport,963933706
football,698725904
boardgames,995500139
autosport,110161928
boardgames,87645031
martial_arts,892988615
martial_arts,254005736
motosport,365447126
martial_arts,675221606
basketball,327373427
football,590168531
football,673717013
boardgames,15687720
martial_arts,248974925
esport,406687238
football,882640123
martial_arts,432727237
extreme,139939618
football,447660100
football,61541309
football,839030107
athletics,731046922
basketball,826403605
athletics,455599238
extreme,653555418
esport,9419231
motosport,147606020
extreme,696853732
esport,247095126
tennis,314730615
hockey,7101715
autosport,158877415
tennis,777388529
hockey,656339234
basketball,595894929
boardgames,300018033
motosport,252055117
autosport,685187327
basketball,968492435
athletics,325137301
athletics,241306824
winter_sport,189202917
basketball,877868208
athletics,723062002
motosport,184257327
volleyball,729168834
esport,24664535
extreme,75044739
martial_arts,977791728
boardgames,588492128
volleyball,503286621
tennis,490004308
volleyball,586438336
volleyball,810648433
esport,963933706
autosport,412582902
volleyball,235819036
autosport,172134431
tennis,193979004
basketball,704493238
athletics,365511913
tennis,32860111
extreme,650371125
basketball,606174933
martial_arts,452466036
hockey,560285439
football,881719908
basketball,732845834
winter_sport,357831525
motosport,433461909
athletics,580460700
basketball,541204520
autosport,682868217
volleyball,346973015
athletics,110567026
winter_sport,136458830
basketball,675949807
athletics,214726412
extreme,573599818
basketball,858270913
esport,69666901
tennis,175917715
tennis,323016022
football,283290130
basketball,876801624
martial_arts,808720707
martial_arts,977791728
athletics,541204520
extreme,318513918
hockey,976274208
boardgames,780437412
extreme,146978633
basketball,932162114
winter_sport,950318127
autosport,368142822
extreme,397238625
basketball,162043401
extreme,46557902
martial_arts,553288426
tennis,524426623
hockey,202488729
boardgames,393407803
boardgames,631388434
basketball,194289811
martial_arts,842094317
athletics,939633505
tennis,483184820
autosport,306441436
tennis,277343111
autosport,118582030
athletics,893681523
football,74652019
tennis,860103302
extreme,337669626
athletics,962409113
extreme,191288802
autosport,638690823
motosport,461478321
motosport,892724112
volleyball,940643711
winter_sport,216195912
boardgames,888914411
athletics,322842224
tennis,246280803
motosport,874257909
athletics,893681523
extreme,281743839
athletics,538156330
tennis,193979004
tennis,340097918
volleyball,484354931
volleyball,720700227
boardgames,676903235
volleyball,53073826
motosport,244390012
motosport,533687714
athletics,720980602
winter_sport,157226523
extreme,200830226
martial_arts,372619507
athletics,430070319
volleyball,185046019
motosport,58056119
esport,216451201
hockey,742321024
motosport,587551436
volleyball,502274308
martial_arts,70553008
volleyball,625733917
autosport,32734003
autosport,197069007
volleyball,447899916
tennis,161038103
autosport,555013438
volleyball,923012209
martial_arts,222516037
winter_sport,6841824
autosport,253041238
autosport,582543434
winter_sport,898891936
basketball,636813919
hockey,402635101
tennis,757687928
